1,2,4,17896
2,1,4,6,7,13,150,269,302,307,348,391,392,485,1561,1567,1655,2094,2491,2695,2711,2720,2723,2823,2879,2935,3062,3851,3909,4348,4532,4560,6003,6044,6093,6189,6218,6321,6616,6805,6985,6995,7264,7546,7592,7714,7852,7872,7931,8075,8097,8134,8634,9273,9285,9642,9918,11149,11957,11973,12035,12630,13267,13331,13371,13440,13823,13840,14016,14284,15557,15739,17638,17711,17745,17759,17775,17819,18018,18153,18382,18432,18629,19349,19538
4,1,2,6,348,2823,5353,5360,8889,9273,11149,14284,14438,17819
5,9285,11766
6,1,2,4
7,2,129,392,1019,1063,1561,1563,1564,1565,1570,1934,2094,2122,2146,2159,3164,3199,3344,3398,3892,3917,3932,4111,4277,4328,4576,4589,4896,6189,6616,7262,7483,7552,7872,8011,8150,8151,8158,8174,8860,8931,9065,9236,9266,9273,11253,11746,11855,11957,12092,13414,14016,14113,14175,14759,15797,16484,16681,17051,17391,17759,17760,17841,18070,18157,18395,18735,18849,19639
8,4997
9,303,3892,5631,13134,17781
10,129,465,784,856,963,995,1003,1063,1199,1651,1740,1831,1900,2041,2122,2198,2318,2427,2468,2532,2567,2723,2808,2823,3080,3096,3142,3168,3448,3871,4130,4509,4567,4796,4810,5064,5260,5993,6221,6240,6400,6535,7659,7684,7780,8209,8251,8267,8286,8736,8961,9273,9285,9326,9483,9777,9779,9918,9930,10044,10227,10488,11869,12371,12821,13395,13524,13690,13721,13824,13839,14113,14508,14771,14922,15030,16042,16110,17141,17358,17413,17845,17857,18635,18686,18741,,13
11,3731,4896,6712,15389
13,2
14
17,4203
19,129,1563,1564,1570,2427,3892,5027,5995,7279,11492,13718,14424,16042,16417,18005,18141
21
22
26,988,1063,1556,2723,5260,6178,7059,8209,8408,9103,9273,9364,11795,13395,15462,17112
29
32,2099
33,3789
37
43,29,2532,5094
46
47,78,216,717,872,896,1199,1771,1779,1903,1954,2084,2276,2425,2427,2812,2831,2941,3808,3892,4567,4608,5113,5823,5995,6378,7165,7536,7828,8538,9014,9364,10044,10161,10189,10256,11740,11795,11917,12215,12417,13511,13544,14085,14264,14473,14828,15485,15623,15739,16110,17034,17141,17405,17638,17645,17759,17775,17781,17895,18493,18508,18735,19113,19640
48,2427,2573
49
51
52
54,33,1954,3596,3789,5225,6240,9255,10010,18128,18720,19076
56
57,58,6400,8527,12690,13511,18385,18788,19317
