1,28,1,3
2,356,5,356
4,149,5,149
5,285,6,285
6,5,0,5
7,89,1,89
8,8,1,8
9,48,2,48
10,1180,7,1180
11,5,0,5
12,20,3,20
13,33,2,33
14,97,1,97
16,2,0,2
17,10,0,10
19,61,1,61
21,2,0,2
24,46,4,46
26,75,5,75
27,1735,18,1735
28,98,8,98
29,23,2,23
30,338,2,338
31,723,19,723
32,180,4,180
33,579,9,579
35,6,1,6
36,2,2,2
37,13,1,13
39,3,0,3
40,4,1,4
43,428,3,428
45,25,4,25
46,5,0,5
47,107,5,107
48,10,1,10
49,9,1,9
51,5,2,5
52,7,0,7
53,31,4,31
54,35,1,35
56,3,1,3
57,34,3,34
58,815,1,815
59,6,0,6
60,3,1,3
61,7,1,7
63,21,1,21
64,5,2,5
66,18,2,18
67,37,5,37
70,55,1,55
71,134,6,134
73,41,5,41
78,1181,6,1181
79,82,9,82
80,42,4,42
81,56,3,56
84,145,6,145
86,26,3,26
87,12,3,12
88,3,1,3
89,47,5,47
91,4,1,4
92,197,7,197
93,297,8,297
102,341,8,341
107,44,7,44
108,71,6,71
109,323,8,323
110,43,2,43
112,340,3,340
115,18,2,18
116,38,1,38
118,511,8,511
129,6220,26,6220
136,102,4,102
137,4,0,4
138,25,1,25
139,14,2,14
143,144,6,144
144,69,7,69
145,42,5,42
147,18,3,18
148,31,3,31
149,3,0,3
150,179,5,179
152,6,1,6
153,38,4,38
160,23,3,23
161,238,13,238
163,13,1,13
165,15,1,15
166,118,9,118
168,45,5,45
173,108,6,108
175,6,0,6
179,2,2,2
182,2,0,2
184,177,13,177
185,8,1,8
186,120,4,120
187,3,1,3
189,2421,8,2421
191,91,3,91
194,10,1,10
198,29,3,29
199,58,5,58
203,155,10,155
208,617,11,617
210,306,4,306
214,137,5,137
215,34,2,34
216,989,14,989
217,527,12,527
219,68,5,68
225,26,4,26
229,8,1,8
230,156,7,156
233,37,2,37
238,17,3,17
240,12,2,12
242,199,4,199
243,24,1,24
244,30,0,30
245,184,6,184
246,82,3,82
247,61,3,61
248,211,6,211
255,5,1,5
259,117,2,117
261,2,1,2
262,12,0,12
264,60,1,60
266,84,3,84
268,50,0,50
269,40,1,40
271,71,3,71
273,38,2,38
276,11,2,11
277,28,2,28
285,14,2,14
286,16,1,16
287,21,1,21
288,41,1,41
289,35,3,35
291,2,2,2
296,2,0,2
297,3,2,3
299,21,3,21
300,45,3,45
301,147,5,147
303,2043,19,2043
304,474,8,474
306,47,4,47
307,184,2,184
309,32,0,32
310,18,2,18
313,4,1,4
314,55,5,55
316,27,1,27
317,67,5,67
318,70,2,70
319,11,2,11
322,10,0,10
325,98,4,98
326,16,2,16
328,92,1,92
330,138,5,138
332,28,1,28
333,733,4,733
335,568,9,568
337,124,2,124
338,56,4,56
339,98,3,98
340,5,0,5
341,11,2,11
